sourcePath,sourceType,targetPath,targetType,mappingStrategy,status,testCaseId,notes
,,pacs00900101.cdtTrfTxInf[].instrForNxtAgt,List<InstructionForNextAgent1>,,ignore,,from-mapper-source;ignored
pacs00800101.cdtTrfTxInf[].pmtId.instrId,String,pacs00900101.cdtTrfTxInf[].pmtId.instrId,String,direct/mapper-impl,done,,from-mapper-source
pacs00800101.cdtTrfTxInf[].instdAgt,BranchAndFinancialInstitutionIdentification3,pacs00900101.cdtTrfTxInf[].instdAgt,BranchAndFinancialInstitutionIdentification3,direct/mapper-impl,done,,from-mapper-source
pacs00800101.grpHdr.msgId,String,pacs00900101.grpHdr.msgId,String,direct/mapper-impl,done,,from-mapper-source
pacs00800101.cdtTrfTxInf[].cdtrAcct,CashAccount7,pacs00900101.cdtTrfTxInf[].cdtrAcct,CashAccount7,direct/mapper-impl,done,,from-mapper-source
pacs00800101.cdtTrfTxInf[].cdtrAgt,BranchAndFinancialInstitutionIdentification3,pacs00900101.cdtTrfTxInf[].cdtrAgt,BranchAndFinancialInstitutionIdentification3,direct/mapper-impl,done,,from-mapper-source
pacs00800101.cdtTrfTxInf[].intrBkSttlmDt,LocalDate,pacs00900101.cdtTrfTxInf[].intrBkSttlmDt,LocalDate,direct/mapper-impl,done,,from-mapper-source
pacs00800101.cdtTrfTxInf[].intrBkSttlmAmt,CurrencyAndAmount,pacs00900101.cdtTrfTxInf[].intrBkSttlmAmt,CurrencyAndAmount,direct/mapper-impl,done,,from-mapper-source
pacs00800101.cdtTrfTxInf[].cdtr,PartyIdentification8,pacs00900101.cdtTrfTxInf[].cdtr,BranchAndFinancialInstitutionIdentification3,direct/mapper-impl,done,,from-mapper-source
pacs00800101.cdtTrfTxInf[].dbtr,PartyIdentification8,pacs00900101.cdtTrfTxInf[].dbtr,BranchAndFinancialInstitutionIdentification3,direct/mapper-impl,done,,from-mapper-source
pacs00800101.grpHdr.ctrlSum,BigDecimal,pacs00900101.grpHdr.ctrlSum,BigDecimal,direct/mapper-impl,done,,from-mapper-source
pacs00800101.cdtTrfTxInf[].dbtrAgt,BranchAndFinancialInstitutionIdentification3,pacs00900101.cdtTrfTxInf[].dbtrAgt,BranchAndFinancialInstitutionIdentification3,direct/mapper-impl,done,,from-mapper-source
pacs00800101.grpHdr.ttlIntrBkSttlmAmt,CurrencyAndAmount,pacs00900101.grpHdr.ttlIntrBkSttlmAmt,CurrencyAndAmount,direct/mapper-impl,done,,from-mapper-source
pacs00800101.grpHdr.nbOfTxs,String,pacs00900101.grpHdr.nbOfTxs,String,direct/mapper-impl,done,,from-mapper-source
pacs00800101.cdtTrfTxInf[].instgAgt,BranchAndFinancialInstitutionIdentification3,pacs00900101.cdtTrfTxInf[].instgAgt,BranchAndFinancialInstitutionIdentification3,direct/mapper-impl,done,,from-mapper-source
pacs00800101.cdtTrfTxInf[].rmtInf,RemittanceInformation1,pacs00900101.cdtTrfTxInf[].rmtInf,RemittanceInformation2,direct/mapper-impl,done,,from-mapper-source
pacs00800101.cdtTrfTxInf[].prvsInstgAgt,BranchAndFinancialInstitutionIdentification3,pacs00900101.cdtTrfTxInf[].prvsInstgAgt,BranchAndFinancialInstitutionIdentification3,direct/mapper-impl,done,,from-mapper-source
pacs00800101.cdtTrfTxInf[].ultmtCdtr,PartyIdentification8,pacs00900101.cdtTrfTxInf[].ultmtCdtr,BranchAndFinancialInstitutionIdentification3,direct/mapper-impl,done,,from-mapper-source
pacs00800101.cdtTrfTxInf[].ultmtDbtr,PartyIdentification8,pacs00900101.cdtTrfTxInf[].ultmtDbtr,BranchAndFinancialInstitutionIdentification3,direct/mapper-impl,done,,from-mapper-source
pacs00800101.grpHdr.sttlmInf,SettlementInformation1,pacs00900101.grpHdr.sttlmInf,SettlementInformation1,direct/mapper-impl,done,,from-mapper-source
pacs00800101.grpHdr.creDtTm,OffsetDateTime,pacs00900101.grpHdr.creDtTm,OffsetDateTime,direct/mapper-impl,done,,from-mapper-source
pacs00800101.cdtTrfTxInf[].pmtId.endToEndId,String,pacs00900101.cdtTrfTxInf[].pmtId.endToEndId,String,direct/mapper-impl,done,,from-mapper-source
pacs00800101.cdtTrfTxInf,List<CreditTransferTransactionInformation2>,pacs00900101.cdtTrfTxInf,List<CreditTransferTransactionInformation3>,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].accptncDtTm,OffsetDateTime,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.ctryOfRes,String,,,,not-started,,
pacs00800101.cdtTrfTxInf[].cdtr.id,Party2Choice,pacs00900101.cdtTrfTxInf[].cdtr.brnchId.id,String,heuristic-suffix,done,,heuristic match
pacs00800101.cdtTrfTxInf[].cdtr.id.orgId,OrganisationIdentification2,,,,not-started,,
